DATE,FIT
2019-11-21,:3247.149
2019-11-22,:3249.647
2019-11-23,:3252.6074
2019-11-24,:3255.8582
2019-11-25,:3259.2407
2019-11-26,:3262.6506
2019-11-27,:3266.0735
2019-11-28,:3269.5698
2019-11-29,:3273.2166
2019-11-30,:3277.1035
2019-12-01,:3281.297
2019-12-02,:3285.8267
2019-12-03,:3290.6624
2019-12-04,:3295.7405
2019-12-05,:3300.938
2019-12-06,:3306.0864
2019-12-07,:3310.9783
2019-12-08,:3315.4226
2019-12-09,:3319.2732
2019-12-10,:3322.4165
2019-12-11,:3324.7847
2019-12-12,:3326.3152
2019-12-13,:3326.9526
2019-12-14,:3326.6824
2019-12-15,:3325.5337
2019-12-16,:3323.57
2019-12-17,:3320.8716
2019-12-18,:3317.5056
2019-12-19,:3313.53
2019-12-20,:3308.9944
2019-12-21,:3303.966
2019-12-22,:3298.525
2019-12-23,:3292.7659
2019-12-24,:3286.7776
2019-12-25,:3280.6333
2019-12-26,:3274.3994
2019-12-27,:3268.106
2019-12-28,:3261.7925
2019-12-29,:3255.5105
2019-12-30,:3249.314
2019-12-31,:3243.23
2020-01-01,:3237.2783
2020-01-02,:3231.4856
2020-01-03,:3225.847
2020-01-04,:3220.3596
2020-01-05,:3215.0247
2020-01-06,:3209.8538
2020-01-07,:3204.863
2020-01-08,:3200.0745
2020-01-09,:3195.496
2020-01-10,:3191.1318
2020-01-11,:3187.0146
2020-01-12,:3183.1848
2020-01-13,:3179.6755
2020-01-14,:3176.5295
2020-01-15,:3173.7688
2020-01-16,:3171.4321
2020-01-17,:3169.5708
2020-01-18,:3168.236
2020-01-19,:3167.4534
2020-01-20,:3167.2295
2020-01-21,:3167.5396
2020-01-22,:3168.3806
2020-01-23,:3169.7288
2020-01-24,:3171.5625
2020-01-25,:3173.8684
2020-01-26,:3176.6213
2020-01-27,:3179.778
2020-01-28,:3183.3281
2020-01-29,:3187.2512
2020-01-30,:3191.513
2020-01-31,:3196.088
2020-02-01,:3200.9595
2020-02-02,:3206.102
2020-02-03,:3211.4714
2020-02-04,:3216.9792
2020-02-05,:3222.47
2020-02-06,:3227.764
2020-02-07,:3232.7288
2020-02-08,:3237.318
2020-02-09,:3241.53
2020-02-10,:3245.3809
2020-02-11,:3248.9495
2020-02-12,:3252.3132
2020-02-13,:3255.4778
2020-02-14,:3258.4067
2020-02-15,:3261.0442
2020-02-16,:3263.3389
2020-02-17,:3265.2532
2020-02-18,:3266.7703
2020-02-19,:3267.94
2020-02-20,:3268.8203
2020-02-21,:3269.4749
2020-02-22,:3269.955
2020-02-23,:3270.3037
2020-02-24,:3270.5562
2020-02-25,:3270.7888
2020-02-26,:3271.0745
2020-02-27,:3271.4917
2020-02-28,:3272.2036
2020-02-29,:3273.4143
2020-03-01,:3275.2954
2020-03-02,:3277.956
2020-03-03,:3281.3918
2020-03-04,:3285.4478
2020-03-05,:3289.9136
2020-03-06,:3294.6714
2020-03-07,:3299.7288
2020-03-08,:3305.1238
2020-03-09,:3310.8826
2020-03-10,:3317.3335
2020-03-11,:3324.7896
2020-03-12,:3333.5474
2020-03-13,:3344.0903
2020-03-14,:3356.6743
2020-03-15,:3371.345
2020-03-16,:3387.9773
2020-03-17,:3406.5396
2020-03-18,:3426.8572
